,Job Title,Company Name,Location,Salary Estimate,Rating,Description
274,Data Scientist II,Centene,Missouri,$86K - $155K (Employer est.),3.7,"Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs.&hellip;
Skills: Oracle, Data mining, SAS, SAP HANA, DB2"
275,Data Science Associate,Public Health Solutions,"Long Island City, NY",$93K (Employer est.),3.9,"The Bureau of Data Technology and Strategy seeks a Data Science Associate to provide technical support for the application of data science to study public…&hellip;
Skills: TensorFlow, Azure, Software deployment, Google Cloud Platform, AWS"
276,"Manager, Data Scientist",Rekuten Global,"San Mateo, CA",$132K - $227K (Employer est.),3.7,"Masters or PhD degree in AI/ML, computer science, statistics, physics, applied mathematics or related field. Maintain technical documentation, develop/deliver…&hellip;
Skills: Statistics, Management, Big data, SQL, Machine learning"
277,"Data Scientist, User Operations",OpenAI,United States,$245K - $385K (Employer est.),4.6,"Strong communication skills, including the ability to bridge technical and non-technical stakeholders and collaborate across various functions to ensure…&hellip;
Skills: Statistics, R, Tableau, SQL, Organizational skills"
278,Data Scientist,Infowave Systems,"Rocky Hill, CT",$86K - $136K (Glassdoor est.),3.8,"Job Duties: Build scalable algorithms and statistical models using Python, Azure ML, Azure AI and R. Develop and deploy CI/CD pipelines using Azure DevOps, and…&hellip;
Skills: TensorFlow, CI/CD, Power BI, DevOps, Spark"
279,Data Scientist - Manufacturing,Weyerhaeuser,"Seattle, WA",$107K - $160K (Employer est.),3.6,"Communicate findings clearly to both technical and non-technical stakeholders, providing recommendations that drive measurable improvements.&hellip;
Skills: Power BI, Azure, Internet of things, R, Statistical analysis"
280,Construction Insurance Data Scientist Analyst,Zurich Insurance Company Ltd.,"Schaumburg, IL",$86K - $140K (Employer est.),4.1,"Experience working with stakeholders to develop strategy and vision around the ways data and analytics can be leveraged to create value for the business.&hellip;
Skills: Statistics, Data mining, Apache Hive, Java, SQL"
281,Data Scientist,Stanford University,"Stanford, CA",$92K - $141K (Employer est.),4.3,"The successful candidate will bring extensive methodological experience, technical skill with analysis tools and software, and content knowledge in early…&hellip;
Skills: Statistics, Childhood development, Data analysis skills, Research, Analysis skills"
282,Data Scientist,Point72,"Stamford, NY",$180K - $210K (Employer est.),4.0,"Bachelor’s or master’s degree in data science, computer science, statistics, mathematics, or a related field. Proven track record of driving metrics generation…&hellip;
Skills: Power BI, R, Data analysis skills, Tableau, Databases"
283,Research Data Scientist,The University of Chicago,"Chicago, IL",$70K - $90K (Employer est.),4.1,"Background in research-related work in economics, climate science, data science, computer science, or a similar quantitative field is highly desirable.&hellip;
Skills: Statistics, R, Data analysis skills, Git, Research"
284,"Data Scientist, Sr Associate",JPMorganChase,"Houston, TX",$114K - $170K (Employer est.),4.0,"Identify strategic machine learning use cases for the team, and apply to tasks such as data analytics, summarization and question answering, time-series…&hellip;
Skills: TensorFlow, Data mining, Management, Data analysis skills, Machine learning"
285,Senior Data Scientist,Subaru of America,"Camden, NJ",$103K - $145K (Employer est.),4.0,"Create clear and engaging visualizations and reports to communicate findings to technical and non-technical audiences.&hellip;
Skills: Statistics, Power BI, Data mining, DevOps, R"
286,Data Scientist I - ML,Cotiviti,Remote,$95K - $115K (Employer est.),3.5,"Participate in design sessions to continuously develop and improve the Cotiviti data science platform. 1+ years of experience (or recent Masters+ graduate)…&hellip;
Skills: Jira, Computer science, Azure, Oracle, Big data"
287,AI Data Scientist,Auria,"Camp Pendleton, CA",$140K - $165K (Employer est.),4.0,"The Marine Corps Tactical Systems Support Activity (MCTSSA) provides 24/7 global technical support for Command, Control, Communications, Computers, Cyber, and…&hellip;
Skills: Data mining, R, Java, Statistical analysis, C++"
288,Senior Data Scientist experience in Utility Domain (Electric OR Gas),Global Software Resources,"Oakland, CA",$75.00 - $85.00 Per Hour (Employer est.),4.0,"Balances tradeoffs among analytics value, model development methods and design and technologies used to implement data science models with a bias toward action.&hellip;
Skills: Statistics, Power BI, Data modeling, Azure, R"
289,Data Scientist,Equifax,"Alpharetta, GA",$95K - $127K (Glassdoor est.),3.6,"Equifax is looking for an experienced Data Scientist with some Data Engineering experience, who will be responsible for attributes development, testing, and…&hellip;
Skills: Data mining, Data structures, Google Cloud Platform, SQL, AI"
290,Data Scientist,County of Orange,"Santa Ana, CA",$104K - $140K (Employer est.),3.5,"Conducting end-to-end data science projects that include exploratory data analysis, feature engineering, model selection, deployment of models into production…&hellip;
Skills: Software troubleshooting, XML, Software deployment, R, SQL"
291,"Data Scientist, Finance Analytics",Airtable,"San Francisco, CA",$180K - $222K (Employer est.),3.7,"Some knowledge of data science models, such as regression, classification, clustering, time series analysis, and experiment design.&hellip;
Skills: R, Tableau, SQL, Regression analysis, Data science"
292,"Sr. Data Scientist, Demand Planning",Rivian,"Irvine, CA",$135K - $168K (Employer est.),3.5,"Rivian is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws.&hellip;
Skills: Information security, SQL, Analysis skills, Project management, Machine learning"
293,Data Scientist,Blue Yonder,"Dallas, TX",$86K - $108K (Employer est.),3.9,"Seeking an astute individual that has a strong technical foundation with the additional ability to be hands-on with the broader engineering team as part of the…&hellip;
Skills: Jira, TensorFlow, Azure, Cassandra, Kubernetes"
294,Data Scientist,NYC HOUSING AUTHORITY,"New York, NY",$85K - $99K (Employer est.),3.2,"A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science…&hellip;
Skills: Microsoft Word, Statistics, Power BI, Microsoft Excel, Oracle"
295,Data Scientist I,ALPHA OMEGA GROUP LLC,"San Diego, CA",$80K - $110K (Employer est.),-1,"This entry-level position is ideal for recent graduates or early-career professionals eager to support data analysis, metrics development, and readiness…&hellip;
Skills: Power BI, Microsoft Excel, Data analysis skills, Tableau, Data analytics"
296,Senior Data Scientist,University of Virginia,"Charlottesville, VA",$93K - $186K (Employer est.),4.3,"Integrate disparate datasets (PacBio/ONT, Illumina, Orbitrap MS, CRISPR screens) to uncover novel correlations and develop predictive models of isoform function…&hellip;
Skills: R, Python"
297,Data Scientist,Saint Gobain,"Wilmington, MA",$111K - $158K (Glassdoor est.),4.1,"Ability to communicate complex ideas clearly to both technical (outside of data science or IT fields) and non-technical stakeholders.&hellip;
Skills: Statistics, Azure, Google Cloud Platform, SQL, AWS"
298,"Data Scientist, Reinforcement Learning",Blizzard Entertainment,"Irvine, CA",$78K - $143K (Employer est.),3.4,"Research and develop state-of-the-art machine learning solutions for reinforcement learning based gameplay AI to enhance game development and gameplay…&hellip;
Skills: TensorFlow, Azure, C#, Google Cloud Platform, Research"
299,Data Scientist III,"Butler/Till, Inc.",Remote,$99K - $138K (Employer est.),3.9,"Expert technical and programming skills in SQL and Python (or R studio) and other statistical or machine learning tools.&hellip;
Skills: Statistics, Oracle, Data mining, R, Microsoft SQL Server"
300,Data Scientist (L4) - Product,Netflix,Remote,$150K - $750K (Employer est.),4.2,"Exceptional communication with technical and non-technical audiences. Establish strong partnerships with stakeholders to realize our vision for Live, whether by…&hellip;
Skills: R, Host/hostess experience, SQL, Analysis skills, Product development"
301,Sr Data Scientist,Voloridge,"Jupiter, FL",$106K - $163K (Glassdoor est.),4.3,"Collaborative research projects requiring deep thinking, technical skills, and ingenuity. Keeping abreast of the latest research related to data science.&hellip;
Skills: R, Research, Databases, SQL, Statistical analysis"
302,Senior Data Scientist,Upstart,"San Mateo, CA",$150K - $207K (Employer est.),3.4,"Advanced degree in Statistics, Mathematics, Economics, Finance, or a related quantitative field. As a Data Scientist, you'll leverage technical and business…&hellip;
Skills: Data analysis skills, SQL, Machine learning, Data science, Python"
303,Sr. Data Scientist - Experimentation & Measurement,PlayStation Global,"San Mateo, CA",$179K - $268K (Employer est.),4.0,"Communicate findings clearly to technical and non-technical stakeholders, helping drive business decisions with rigor and clarity.&hellip;
Skills: SQL, Machine learning, A/B testing, Data science, Python"
304,Data Scientist,Leidos,"McLean, VA",$85K - $154K (Employer est.),3.8,"Requires BS degree (in a technical field, such as mathematics, engineering, or computer science) and 4-8 years of relevant experience or.&hellip;
Skills: TensorFlow, Statistics, Computer science, Relational databases, Git"
305,Experienced Data Scientist,Plaid,United States,$174K - $260K (Employer est.),4.2,"Specifically, you will focus on driving business impact, and production directions through data analysis and potentially help evaluate and improve ML solutions…&hellip;
Skills: Computer science, Data mining, Data analysis skills, SQL, AWS"
306,Data Scientist,Entech Consulting LLC,"Wilmington, DE",$88K - $131K (Glassdoor est.),1.0,"PhD degree - must be in a STEM field/ PhD - can be a recently minted PhD. Preferred skills (But not required, an extra plus if you have the industry experience)…&hellip;
Skills: R, Research, Data science, AI, Python"
307,Senior Data Scientist,MediaAlpha,"Los Angeles, CA",$96K - $143K (Employer est.),4.6,"You will collaborate closely with our engineering team to design and integrate sophisticated algorithms and features and streamline reporting for key…&hellip;
Skills: Statistics, R, SQL, Analysis skills, Perl"
308,Sr. Data Scientist II,Pacific Life,"Newport Beach, CA",$164K - $200K (Employer est.),3.9,"Master’s or Ph.D. in Data Science, Statistics, Computer Science, or a related field. Lead the development and implementation of data-driven models and…&hellip;
Skills: TensorFlow, Underwriting, SQL, Machine learning, Communication skills"
309,Data Scientist,i360,"Arlington, VA",$110K - $150K (Employer est.),3.9,"Those with a non-technical degree but extensive technical experience is also encouraged to apply. Those with a non-technical advanced degree but extensive…&hellip;
Skills: R, Data analysis skills, Git, SQL, Regression analysis"
310,Data Analyst/Scientist: IV,Intone Networks,"New York, NY",-1,4.2,Hybrid ( Boston or NY) ( Day 1 Onsite ) 6+ Month…&hellip;
311,"Staff Data Scientist, Business Solutions",GoodLeap,"San Mateo, CA",$173K - $200K (Employer est.),3.7,"Communicate analysis and modeling results effectively to non-technical stakeholders and represent data perspective in strategy and architecture conversations.&hellip;
Skills: Data modeling, R, Tableau, SQL, Analysis skills"
312,"Data Scientist, Product",OpenAI,"San Francisco, CA",$255K - $405K (Employer est.),4.6,"Define and interpret A/B tests that help answer critical questions about the impact of model and UX changes to our product.&hellip;
Skills: SQL, Natural language processing, AI, Quantitative research, Communication skills"
313,Data Scientist,University of Rochester,"Rochester, NY",$70K - $105K (Employer est.),3.6,"Bachelor’s degree in Accounting, Data Science, Information Science, or other relevant field and two years of relevant experience required.&hellip;
Skills: Business intelligence, Data analysis skills, Machine learning, Accounting, Data science"
314,"Data Scientist, AVP - People Analytics",Blackstone Group,"New York, NY",$125K - $180K (Employer est.),5.0,"3+ years of experience in Python or R conducting statistical analysis or developing predictive models. Apply analytical and problem-solving skills to navigate…&hellip;
Skills: Power BI, Relational databases, Project planning, Spark, R"
315,Senior Data Scientist,Anheuser-Busch,"New York, NY",$111K - $169K (Employer est.),3.6,"This position requires Ph.D. or equivalent in Mathematics, Statistics, Economics, Computer Science or related field and one year of data science experience OR…&hellip;
Skills: Analysis skills, Machine learning, Deep learning, Natural language processing, Regression analysis"
316,Sr. Data Scientist I,Partnership HealthPlan of California,"Fairfield, CA",$136K - $177K (Employer est.),3.9,"Valid California driver’s license with proof of insurance coverage in. Stays up-to-date with the latest advancements in data science techniques and tools, and.&hellip;
Skills: Computer science, Power BI, Big data, Spark, R"
317,Senior Data Scientist,Amazee Global Ventures Inc,"Montpelier, VT",$55.00 - $60.00 Per Hour (Employer est.),5.0,"The Data Scientist I will be dedicated to increasing in technical proficiency through both team mentorship and independent study. Pay: $55.00 - $60.00 per hour.&hellip;
Skills: TensorFlow, Statistics, R, Microsoft SQL Server, SQL"
318,Data Scientist II,Microsoft,"Redmond, WA",$98K - $209K (Employer est.),4.2,"Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 5+ years data-…&hellip;
Skills: Power BI, Azure, Big data, R, Data science"
319,"Data Scientist, Ecommerce - USDS",TikTok,"San Jose, CA",$144K - $240K (Employer est.),3.2,"Responsibilities: - Work with large and complex datasets to solve a wide array of challenging problems using different analytical and statistical approaches -…&hellip;
Skills: Statistics, Computer science, Data mining, R, E-commerce"
320,Senior Data Scientist AI Strategy and Activation,Lundbeck,"Deerfield, IL",$185K - $215K (Employer est.),4.1,"Accredited bachelor’s degree in a quantitative field (e.g., Computer Science, Data Science, Engineering, Mathematics, etc.).&hellip;
Skills: Software deployment, R, Git, Java, Analysis skills"
321,Research Data Scientist – HDSA,Houston Methodist Academic Institute,"Houston, TX",-1,4.2,"Master's degree in computer science, Clinical Informatics, Public Health Administration, Business Administration, or Engineering, or an MD with experience in…&hellip;
Skills: Statistics, Writing skills, Data analysis skills, English, Process mapping"
322,"Medical Analytics, Care Gaps & Customer Segmentation Team, Senior Data Scientist",Pfizer,"New York, NY",$141K - $261K (Employer est.),3.8,"Relevant certification &/or work experience in data engineering. Candidate demonstrates a breadth of diverse leadership experiences and capabilities including:…&hellip;
Skills: English, Customer segmentation, Machine learning, Clinical trials, Data science"
323,Senior Data Scientist,FIS Global,"Bellevue, WA",$116K - $194K (Employer est.),3.7,"You’ll research, design, and implement data science solutions with a team of data scientists to address complex business challenges, contributing to the…&hellip;
Skills: TensorFlow, Spark, Git, Google Cloud Platform, SQL"
324,Data Scientist,University of Wisconsin–Madison,"Madison, WI",$70K - $100K (Employer est.),4.7,"Basic software development skills including experience using Git, GitHub/GitLab and tools for managing packages and computing environments (with tools like venv…&hellip;
Skills: TensorFlow, Statistics, R, Git, Research"
325,Principal Data Scientist – Government Consumer Analytics,CVS Health,"Bismarck, ND",$144K - $288K (Employer est.),3.2,"This high-level individual contributor will partner closely with the AVP of Government Consumer Analytics to drive hands on technical excellence across the most…&hellip;
Skills: Statistics, Management, Google Cloud Platform, SQL, Statistical analysis"
326,Data Scientist,Leidos,"McLean, VA",$126K - $228K (Employer est.),3.8,"Experience with frequentist statistics, probability, and predictive modeling, along with knowledge of computer science concepts, data architecture, and…&hellip;
Skills: TensorFlow, Statistics, Computer science, Relational databases, Git"
327,"Senior Data Scientist, Data Science",National Grid,"Waltham, MA",$116K - $164K (Employer est.),4.0,"A Bachelor’s degree (Master’s or PhD preferred; work experience preferred for Bachelor’s and Master’s degree) in economics, statistics, mathematics, applied…&hellip;
Skills: Microsoft Excel, Azure, SAS, R, Git"
328,"Data Scientist, AI",Cook Group,"Bloomington, IN",-1,3.4,"Bachelor's degree in Computer Science, Data Science, Mathematics, Statistics, or related field; Master's preferred.&hellip;
Skills: TensorFlow, Azure, Databases, AWS, Machine learning"
329,"Senior Data Scientist, Ads Manager",Roku,"New York, NY",$132K - $254K (Employer est.),3.7,"You will own problems end-to-end, delivering insights and models to drive customer conversions and building data pipelines, dashboards, and automated reports to…&hellip;
Skills: R, SQL, Customer segmentation, Data management, Forecasting"
330,Senior Data Scientist - Digital + Customer,Macy’s,"New York, NY",$126K - $210K (Employer est.),3.4,"This role collaborates with cross-functional teams to identify opportunities where data science can add value, applying cutting-edge AI techniques to large…&hellip;
Skills: Google Cloud Platform, Analysis skills, Machine learning, Purchasing, Regression analysis"
331,AI Data Scientist,"Medpace, Inc.","Cincinnati, OH",-1,2.7,"Master’s degree or higher in informatics, computer science/engineering, health information, statistics, or related field required;&hellip;
Skills: Jira, Computer science, Machine learning, Data science, AI"
332,"Data Scientist, Marketing",Wealthfront,"Palo Alto, CA",$164K - $211K (Employer est.),4.2,"Strong desire and ability to mentor junior Data Scientists by exemplifying math, engineering and technical communication skills. Proficiency in Python and SQL.&hellip;
Skills: Information security, SQL, Math, Communication skills, Python"
333,Contract - Data Scientist,L.E.K. Consulting,"New York, NY",$45.00 - $60.00 Per Hour (Employer est.),3.7,"The primary focus of this role is to provide technical expertise: helping to execute on complex analytics across a wide variety of often fast-paced client…&hellip;
Skills: Microsoft Powerpoint, TensorFlow, CI/CD, Microsoft Excel, Azure"
334,Data Scientist,Scientific Research Corporation,"San Antonio, TX",$100K - $167K (Employer est.),4.4,"Scientific Research Corporation is an advanced information technology and engineering company that provides innovative products and services to government and…&hellip;
Skills: Data mining, Military, Writing skills, Data analysis skills, Python"
335,Data Scientist,ABOUT HEALTHCARE INC,"Saint Paul, MN",$84K - $124K (Glassdoor est.),3.2,"Bachelor’s in data science, Computer Science, Statistics, or related field (or equivalent experience). Excellent communication skills with the ability to…&hellip;
Skills: TensorFlow, Statistics, Computer science, Power BI, R"
336,Data Scientist,JTEC Consulting,"McLean, VA",$160K - $220K (Employer est.),5.0,"Positions are supporting varied task order activities including ETL, data engineering, data strategy and architecture, data analytics, and data-focused software…&hellip;
Skills: Data mining, DevOps, Machine learning, Data analytics, Cloud computing"
337,Data Scientist,Steampunk,"McLean, VA",$125K - $160K (Employer est.),4.2,"Bachelor's degree in computer science, information systems, engineering, business, or a scientific or technical discipline. Familiarity with Flask is a plus.&hellip;
Skills: ArcGIS, TensorFlow, Elasticsearch, Power BI, Data modeling"
338,"Data Scientist, Service Metrics",BayOne,"Foster City, CA",$126K - $178K (Glassdoor est.),4.0,"In this role, you will be instrumental in developing and refining the metrics that assess the company's driving and service performance.&hellip;
Skills: Power BI, Management, Spark, Data analysis skills, Tableau"
339,Data Scientist II,Katalyst Healthcares & Life Sciences,"Avenel, NJ",$101K - $143K (Glassdoor est.),3.5,"MS degree (0-2) or higher in a quantitative field (Bioinformatics, Computer Science, Computational Genetics, Biostatistics or other field with a strong…&hellip;
Skills: R, Git, Databases, SQL, Machine learning"
340,Senior AI Data Scientist,Electronic Arts,"Kirkland, WA",$133K - $240K (Employer est.),4.1,"PhD or MSc in statistics, mathematics, computer science, or related field. Collect, clean, manage, analyze and visualize large sets of data using multiple data…&hellip;
Skills: CI/CD, Computer science, Kubernetes, DevOps, Git"
341,Senior Data Scientist,Integral Ad Science,"New York, NY",$101K - $173K (Employer est.),3.5,"Join a team of highly motivated ML researchers and developers, own projects from end-to-end, while collaborating with team members, learning, mentoring,…&hellip;
Skills: R, SQL, Supervising experience, Deep learning, Scripting"
342,Data Scientist,Point72,"New York, NY",$125K - $250K (Employer est.),4.0,"This exceptional individual will be a member of a small team of Data Scientists who play a vital role in ensuring the smooth day-to-day implementation of a…&hellip;
Skills: C#, Microsoft SQL Server, Java, SQL, Analysis skills"
343,"Senior Associate, Data Scientist",Information Technology Senior Management Forum,"McLean, VA",$133K - $152K (Employer est.),5.0,"A Bachelor's Degree in a quantitative field (Statistics, Economics, Operations Research, Analytics, Mathematics, Computer Science, or a related quantitative…&hellip;
Skills: Spark, R, SQL, AWS, Analysis skills"
344,"Data Scientist, Ambulatory Transformation & Performance",UCLA Health,"Los Angeles, CA",$103K - $228K (Employer est.),3.9,"The Data Scientist will design and maintain robust data models, develop predictive models, and collaborate with stakeholders to interpret complex data sets.&hellip;
Skills: Data modeling, Azure, Data mining, DevOps, R"
345,Data Scientist,Leidos,"McLean, VA",$105K - $189K (Employer est.),3.8,"Experience with frequentist statistics, probability, and predictive modeling, along with knowledge of computer science concepts, data architecture, and…&hellip;
Skills: TensorFlow, Statistics, Computer science, Relational databases, Git"
346,"Data Scientist/Analyst - San Francisco, CA, USA",Photon,"San Francisco, CA",$48K - $168K (Employer est.),4.2,"Bachelor’s or master’s degree in data science, Statistics, Computer Science, or a related field. This position is available for independent contractors.&hellip;
Skills: Power BI, Azure, Google Cloud Platform, Tableau, SQL"
347,Data Scientist,Allio Capital,"Seattle, WA",$130K - $165K (Employer est.),-1,"We are looking for a skilled Data Scientist with a solid foundation in data engineering to develop and implement advanced machine learning models that enhance…&hellip;
Skills: TensorFlow, Data mining, Big data, Spark, NoSQL"
348,Lead Data Scientist,JPMorganChase,"Columbus, OH",$118K - $160K (Glassdoor est.),4.0,"Bachelors or Master's degree with at least 5 years of experience in computer science, statistics, artificial intelligence, machine learning, or a related field…&hellip;
Skills: TensorFlow, CI/CD, Statistics, Computer science, Microsoft Excel"
349,Sr Data Analyst,TIAA,"Charlotte, NC",$72.16 - $98.65 Per Hour (Employer est.),3.6,Analyzes revenue impact of various online marketing and e-commerce strategies. Oversees processes and methodologies for gathering and analyzing market data and…&hellip;
350,Statistician / Data Scientist,Valve Software,"Bellevue, WA",$119K - $160K (Glassdoor est.),4.7,"The statisticians that we currently have at Valve have a graduate degree in Statistics, Applied Mathematics, or a related field; substantial experience with…&hellip;
Skills: Statistics, Data modeling, SQL, PHP, C++"
351,Senior Data Scientist - GenAI,BayOne,"San Francisco, CA",$144K - $212K (Glassdoor est.),4.0,"Communicate insights effectively to technical and non-technical stakeholders. Master’s or Ph.D. in Computer Science, NLP, Machine Learning, or related field (…&hellip;
Skills: TensorFlow, Azure, Tableau, Machine learning, Natural language processing"
352,Applied Scientist - AI/ML,CDK Global,"Austin, TX",$120K - $160K (Employer est.),3.2,"Master’s degree or PhD in Computer Science, Machine Learning, Data Science, Statistics, or a related technical field. Strong programming skills in Python.&hellip;
Skills: Azure, Data structures, Google Cloud Platform, AWS, Docker"
353,Data Scientist II,f5,"Seattle, WA",$141K - $192K (Employer est.),3.9,"Minimum Requirements: Bachelor’s degree, or foreign equivalent, in Computer Science, Mathematics, Statistics, Engineering (any field) or closely related…&hellip;
Skills: Microsoft Powerpoint, Power BI, Data mining, Load balancing, R"
354,Senior Data Scientist,"Vizient, Inc.","Chicago, IL",$102K - $179K (Employer est.),3.4,"Design and develop data models using machine learning and artificial intelligence tools. Advanced degree preferred in applied math, statistics, computer science…&hellip;
Skills: Azure, R, ERP systems, Microsoft SQL Server, Administrative experience"
355,Data Scientist,"Affinaquest Technologies, LLC","Scottsdale, AZ",$150K - $160K (Employer est.),2.0,"BS degree in data science, computer science, engineering, or equivalent experience. In this role, you'll have a heavy hand the architecture, processes, and…&hellip;
Skills: Computer science, Azure, Tableau, SQL, Machine learning"
356,Data Scientist: TV Data Products,FourthWall Media,"Dulles, VA",$80K - $128K (Glassdoor est.),4.4,"Experience with R and Python for data science, including: data clearing and manipulation (tidyverse, dplyr, pandas), statistical modeling software (Stan/CmdStan…&hellip;
Skills: Spark, R, Data analysis skills, Apache Hive, Databases"
357,Data Scientist,Sev1Tech,"Fort Belvoir, VA",$115K - $187K (Glassdoor est.),4.4,"Provides technical support in the evaluation of prime object names, data elements, and other objects. Ensures that the proposed objects are consistent with data…&hellip;"
358,"Data Scientist, Customer Analytics & VoC",Adobe,"San Francisco, CA",$109K - $192K (Employer est.),4.2,"Bachelors degree with at least 5 years of experience in product analytics, statistics, and text analytics; MBA/Masters in a quantitative field (e.g., Economics,…&hellip;
Skills: Statistics, Power BI, R, Tableau, SQL"
359,Data Scientist,NYC HOUSING AUTHORITY,Manhattan,$75K - $104K (Employer est.),3.2,"A baccalaureate degree from an accredited college in computer science, engineering, human computer interaction, interactive media, digital and graphics design,…&hellip;
Skills: ArcGIS, Microsoft Powerpoint, Power BI, Microsoft Excel, Microsoft Access"
360,Sr Data Scientist - Demand Forecasting,H-E-B,"San Antonio, TX",$115K - $157K (Glassdoor est.),4.2,"H-E-B's Corporate Planning and Analysis Team develops and maintains budgets and financial systems while providing current, reliable financial data, analysis,…&hellip;
Skills: Big data, Spark, R, Java, SQL"
361,Associate Data Scientist or Data Scientist,Xcel Energy,"Minneapolis, MN",$83K - $125K (Employer est.),3.3,"This position often serves as a foundational step towards more advanced roles in data science, providing essential skills and experience in the field.&hellip;
Skills: Power BI, R, SQL, Machine learning, Data science"
362,Data Scientist,Oracle,"Seattle, WA",$139K - $195K (Glassdoor est.),3.8,"BS (or equivalent experience) in Data Science, Computer Science, Engineering, or related quantitative or technical field.&hellip;
Skills: TensorFlow, Computer science, Power BI, Azure, Oracle"
363,Data Scientist I,Ultima Genomics,"Fremont, CA",$117K - $158K (Glassdoor est.),3.6,"Push for permanent fixes where possible, whether through changes in design, PMs, QC, etc. BS degree in Engineering, Physics, or other quantitative field.&hellip;
Skills: Jira, Statistics, Relational databases, Data analysis skills, Databases"
364,"(USA) Senior, Data Scientist",Vizio,"New York, NY",$108K - $234K (Employer est.),2.7,"Option 1- Bachelor’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience…&hellip;
Skills: Web accessibility, TensorFlow, CI/CD, Big data, Spark"
365,"Data Scientist, Finance",Meta,"Menlo Park, CA",$114K - $171K (Employer est.),3.8,"Raise the bar of data science at Meta, including but not limited to driving data best practices (e.g., analysis, goaling, forecasting), improving analytical…&hellip;
Skills: Statistical software, Statistics, R, SQL, Machine learning"
366,Staff Data Scientist,Credit Genie,"New York, NY",$150K - $250K (Employer est.),5.0,"A PhD in a relevant field (e.g., Mathematics, Statistics, …) and 4+ years of experience in a similar role OR Master degree in a relevant field and 8+ years of…&hellip;
Skills: Statistics, SQL, Machine learning, Data science, Python"
367,Senior Data Scientist,"Medpace, Inc.","Cincinnati, OH",$106K - $140K (Glassdoor est.),2.7,"Master’s degree in informatics, computer science/engineering, health information, statistics, or related field required, PhD preferred.&hellip;
Skills: Statistics, R, Machine learning, Clinical trials, Data science"
368,Data Scientist - Supply Chain Inventory,Genus PLC,DeForest,-1,3.5,"Document and effectively communicate findings and recommendations to both technical and non-technical stakeholders, including executives and operational teams.&hellip;
Skills: Power BI, Data structures, R, Google Cloud Platform, Tableau"
369,Staff Data Scientist,The University of Chicago,"Chicago, IL",$101K - $129K (Employer est.),4.1,"Work with nonprofit and social impact partners to design and execute data science projects for social good across multiple verticals including climate, energy,…&hellip;
Skills: Docker, Machine learning, Deep learning, Natural language processing, Software development"
370,"Data Scientist Senior - Grand Prairie, TX",Lockheed Martin,"Grand Prairie, TX",-1,4.1,"Defining standards, best practices, and certification processes for data objects. Demonstrated experience in Extract, Transform, and Load (ETL) data engineering…&hellip;
Skills: Java, Machine learning, REST, Python"
371,Staff Data Scientist,Apollo.io,Remote,-1,3.9,"Deep experience in working with exploratory analysis projects related to cohorting, time series analysis, and funnel analysis/optimization is required.&hellip;
Skills: SAS, R, SQL, Analysis skills, Machine learning"
372,Director Data Scientist,McKesson,"Irving, TX",$140K - $232K (Employer est.),3.7,"Communicate strategy and results to technical and non-technical audiences. Manage business stakeholder relationships to drive action and value from data science…&hellip;
Skills: Power BI, Business intelligence, Procurement, R, Tableau"
373,"Senior Data Scientist, Brokerage",Robinhood,"New York, NY",$187K - $220K (Employer est.),3.7,"PhD in a quantitative field such as Mathematics, Statistics, or Engineering with 3+ years of work experience in trading and pricing functions at broker dealers,…&hellip;
Skills: Statistics, Pricing, Spark, SQL, Machine learning"
374,Staff Data Scientist,Unity Technologies,"San Francisco, CA",$169K - $322K (Employer est.),3.4,"In addition to guiding experimental design and analysis, you will define and implement methods for analyzing data, codified into scalable tools for widespread…&hellip;
Skills: Statistics, Big data, Spark, R, Data analysis skills"
375,Data Scientist,Full Circle Recruiting,"Dallas, TX",$50.00 Per Hour (Employer est.),4.0,"Bachelor's or Master's degree in Computer Science, Data Science, Statistics, Mathematics, or a related field. Bachelor's or Master's degree in Computer Science,…&hellip;
Skills: Analysis skills, Machine learning, Distributed systems, Forecasting, Leadership"
376,Data Scientist,Gartner,"Irving, TX",$96K - $131K (Employer est.),4.0,"Excellent communication skills with the ability to translate complex technical concepts for non-technical audiences.&hellip;
Skills: TensorFlow, CI/CD, Azure, SQL, AWS"
377,Product Data Scientist,thatgamecompany,"Los Angeles, CA",$140K - $180K (Employer est.),4.5,"We’re looking for an experienced Data Scientist to help us develop scalable data-driven solutions that enhance player understanding, foster safe and secure…&hellip;
Skills: Kubernetes, Big data, Spark, Google Cloud Platform, Java"
378,Senior Data Scientist,Chubb,"Philadelphia, PA",$118K - $201K (Employer est.),3.6,"Bachelor’s or Master’s degree in a computational science or statistical field is preferred. Research, recommend, and implement AI methodologies appropriate for…&hellip;
Skills: Data mining, SQL, C, Product development, Machine learning"
379,Commercial Data Scientist,Alexander Group,"New York, NY",$110K (Employer est.),4.1,"The Commercial Data Scientist will be expected to interpret and tune machine learning algorithms, work in big data environments, apply statistical methods to…&hellip;
Skills: Microsoft Powerpoint, Power BI, Microsoft Excel, Sales, R"
